featured,id,link,title,imageURL,category,avg_review,phone,email,address,city,state,zipcode,country,location,feature
Featured,4574,https://visitmalawi.mw/index.php/directories/umodzi-park/,Umodzi Park Hotel,https://visitmalawi.mw/wp-content/uploads/2022/09/umodzi-park7-1024x683.jpg,Hotel,0,+2651789888,,"Chilembwe Road, P.O. Box 31489 Lilongwe 3",Lilongwe,,,Malawi,Lilongwe,"24 Hour Reception,Air Conditioning,Airport Shuttle,Bath and Shower,CCTV Cameras,Electronic Key System,Gym,Hair Dryer,International Adaptors,Laundry Service,LCD Flatscreen and LCD,Mini Bar,Room Service,Safe,Secure Parking,Spa and Saloon,Swimming Pool,Tea and Coffee Station,Wifi Unlimited,Work Station"
featured,1841,https://visitmalawi.mw/index.php/directories/sunbird-livingstonia-beach/,Sunbird Livingstonia Beach,https://visitmalawi.mw/wp-content/uploads/2021/10/sunbird-livingstonia-1024x684.jpg,"Hotel,MICE",0,+265-1-820-588,,,Salima,,,Malawi,Salima,"Accepts Credit Cards,Free WiFi,Has TV,Laundry,Parking,Swing Pool,Takes Reservations,Waiter Service,Weddings"
,4568,https://visitmalawi.mw/index.php/directories/mufrasa-backpackers-lodge/,Mufrasa Backpackers Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Central Region,,MALAWI,Salima,
,4567,https://visitmalawi.mw/index.php/directories/thope-lodge/,Thope Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Dowa,Central Region,,MALAWI,Dowa,
,4566,https://visitmalawi.mw/index.php/directories/lake-side-hotel/,Lake Side Hotel,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Central Region,,MALAWI,Salima,
,4565,https://visitmalawi.mw/index.php/directories/linde-motel/,Linde Motel,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Dowa,Central Region,,MALAWI,Dowa,
,4564,https://visitmalawi.mw/index.php/directories/safari-beach-lodge/,Safari Beach Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Central Region,,MALAWI,Salima,
,4563,https://visitmalawi.mw/index.php/directories/holiday-home-lodge/,Holiday Home Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Dowa,Central Region,,MALAWI,Dowa,
,4562,https://visitmalawi.mw/index.php/directories/hill-side-executive-lodge/,Hill Side Executive Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Dowa,Central Region,,MALAWI,Dowa,
,4561,https://visitmalawi.mw/index.php/directories/selema-lodge/,Selema Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Cental Region,,MALAWI,Salima,
,4560,https://visitmalawi.mw/index.php/directories/mwala-cottage/,Mwala Cottage,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Central Region,,MALAWI,Salima,
,4559,https://visitmalawi.mw/index.php/directories/tendai-restaurant-lodge/,Tendai Restaurant & Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Central Region,,MALAWI,Salima,
,4558,https://visitmalawi.mw/index.php/directories/ambele-2-restaurant/,Ambele 2 Restaurant,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Dowa,Central Region,,MALAWI,Dowa,
,4557,https://visitmalawi.mw/index.php/directories/chimango-lodge/,Chimango Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Central Region,,MALAWI,Salima,
,4556,https://visitmalawi.mw/index.php/directories/asante-guesthouse/,Asante Guesthouse,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Central Region,,MALAWI,Salima,
,4555,https://visitmalawi.mw/index.php/directories/malimba-lodge/,Malimba Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Central Region,,MALAWI,Salima,
,4554,https://visitmalawi.mw/index.php/directories/ambele-1-restaurant/,Ambele 1 Restaurant,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Dowa,Central Region,,MALAWI,Dowa,
,4553,https://visitmalawi.mw/index.php/directories/gannt-executive-lodge/,Gannt Executive Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Central Region,,MALAWI,Salima,
,4552,https://visitmalawi.mw/index.php/directories/half-london-lodge/,Half London Lodge,https://visitmalawi.mw/wp-content/uploads/2022/09/image-cover2.jpg,Hotel,0,,kelvin@visitmalawi.mw,,Salima,Northern Region,,MALAWI,Salima,
